"","id","sentence","difficulty"
"0","0","les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé du taux d occupation ou du taux de remplissage de l infrastructure utilisée de la topographie des lignes du flux de trafic etc ","C1"
"1","1","le bleu c est ma couleur préférée mais je n aime pas le vert ","A1"
"2","2","le test de niveau en français est sur le site internet de l école ","A1"
"3","3","est ce que ton mari est aussi de boston ","A1"
"4","4","dans les écoles de commerce dans les couloirs de places financières il arrive aujourd hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d ouvrir une maison d hôtes dans une quinzaine d années ","B1"
"5","5","voilà une autre histoire que j ai beaucoup aimée ","A2"
"6","6","les médecins disent souvent qu on doit boire un verre de vin rouge après les repas ","A2"
"7","7","il est particulièrement observé chez les personnes ayant un besoin de popularité développé qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité ","B2"
"8","8","j ai retrouvé le plaisir de manger un oeuf à la coque","A2"
"9","9","nous allons bien nous habitons dans une petite maison ancienne avec un très beau jardin","B1"
"10","10","bonjour et bonne année ","A1"
"11","11","la presse s est abondamment fait l écho des effets secondaires ressentis par les soignants de moins de 65 ans ","B2"
"12","12","pour que le rocher s ouvre il faut le toucher avec un brin d herbe ","B1"
"13","13","j habite une belle ville dans le nord de la france ","A1"
"14","14","certes il doit répondre aux goûts du consommateur mais aussi aux capacités de son porte monnaie ","B2"
"15","15","ma timidité me quittait dès que je m éloignais d ellénore  je reprenais alors mes plans habiles et mes profondes combinaisons  mais à peine me retrouvais je auprès d elle que je me sentais de nouveau tremblant et troublé ","C2"
"16","16","je pense que fréquenter les galeries est la meilleure manière d éduquer son oeil à l art contemporain ","B2"
"17","17","le soir je me cuche tôt parce que je dois être toujours en bonne forme ","A1"
"18","18","la mère de raphaël et de vanessa exprime sa satisfaction  depuis que ses enfants possèdent un portable  ça a libéré ma ligne  déclare t elle ","B2"
"19","19","je ne fais pas grand chose à la maison ","A2"
"20","20","elle ajoute qu une interdiction totale est impossible à gérer ","B2"
"21","21","sans plus d hésitation il tourna vers la gauche  son pas sonnait sur la terre durcie et ce bruit cadencé monotone assoupissait en le berçant le tumulte de son esprit ","C2"
