"les couts kilometriques reels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilise du taux doccupation ou du taux de remplissage de linfrastructure utilisee de la topographie des lignes du flux de trafic etc","C1"
"le bleu cest ma couleur preferee mais je naime pas le vert","A1"
"le test de niveau en francais est sur le site internet de lecole","A1"
"estce que ton mari est aussi de boston","A1"
"dans les ecoles de commerce dans les couloirs de places financieres il arrive aujourdhui de croiser de jeunes adultes de 20 ou 25 ans qui prevoient douvrir une maison dhotes dans une quinzaine dannees","B1"
"voila une autre histoire que jai beaucoup aimee","A2"
"les medecins disent souvent quon doit boire un verre de vin rouge apres les repas","A2"
"il est particulierement observe chez les personnes ayant un besoin de popularite developpe qui considerent des lors le moindre signal du smartphone comme un possible indicateur de leur degre de popularite","B2"
"jai retrouve le plaisir de manger un oeuf a la coque","A2"
"nous allons bien nous habitons dans une petite maison ancienne avec un tres beau jardin","B1"
"bonjour et bonne annee","A1"
"la presse sest abondamment fait lecho des effets secondaires ressentis par les soignants de moins de 65 ans","B2"
"pour que le rocher souvre il faut le toucher avec un brin dherbe","B1"
"jhabite une belle ville dans le nord de la france","A1"
"certes il doit repondre aux gouts du consommateur mais aussi aux capacites de son portemonnaie","B2"
"ma timidite me quittait des que je meloignais dellenore je reprenais alors mes plans habiles et mes profondes combinaisons mais a peine me retrouvaisje aupres delle que je me sentais de nouveau tremblant et trouble","C2"
"je pense que frequenter les galeries est la meilleure maniere deduquer son oeil a lart contemporain","B2"
"le soir je me cuche tot parce que je dois etre toujours en bonne forme","A1"
"la mere de raphael et de vanessa exprime sa satisfaction depuis que ses enfants possedent un portable ca a libere ma ligne declaretelle","B2"
"je ne fais pas grandchose a la maison","A2"
"elle ajoute quune interdiction totale est impossible a gerer","B2"
"sans plus dhesitation il tourna vers la gauche son pas sonnait sur la terre durcie et ce bruit cadence monotone assoupissait en le bercant le tumulte de son esprit","C2"
"comme le signale lexpression lingua franca le francais a ete pendant tres longtemps la langue internationale eu egard a notre rayonnement politique aussi bien que culturel","C2"
"je ne tai pas telephone parce que jai eu trop de travail","B1"
"cest peutetre ca que vous cherchez ","A2"
"questce qui peut bien poser probleme dans ces petits livrets pourtant plutot attractifs pour que seuls 23 4 de leurs detenteurs arrivent au bout ","C2"
"je consulte dhabitude ma messagerie et puis je prends un cafe","A1"
"nous sommes en train de diner","A2"
"en fait je trouve que leducation est une bonne chose","B1"
"astu besoin de quelque chose","A1"
"perpetuel clandestin cest muni dun faux titre de sejour photocopie de la carte de resident dun copaincomplice quil avait ensuite sillonne lhexagone au bon vouloir demployeurs peu scrupuleux","C1"
"le mariage mixte apparait comme le lieu privilegie ou les cultures saffrontent dialoguent et se fondent","B2"
"assis en terrasse dans le quartier touristique du vieux lyon james sirote une limonade bien fraiche","B2"
"la chronologie antique ne prend sens que sur un large pourtour de la mediterranee de meme que ce decoupage spatial nest pertinent comme entite geographique que durant cette periode pendant laquelle la mer interieure nest pas vecue comme une limite","C2"
"en voici un des moins obscurs plus nous devenons maitres de la biosphere plus nous en devenons dependants plus nous la degradons plus nous degradons nos vies5","C2"
"cest le debut de troubles qui se poursuivent et setendent au reste du territoire tout au long du mois de septembre les fameuses journees de septembre amplifies le refus de guillaume 1er de considerer les revendications des insurges","B2"
